America East,Year,Round,Rank,Forw-Pred
,,3,0.4286,0.3333
,,4,0.5714,0.8000
,,5,0.6877,0.5000
,,6,0.8341,0.5000
,,7,0.8155,0.0000
,,8,0.7727,0.5000
,,9,0.7795,0.2500
,,10,0.7807,0.7500
,,11,0.7028,0.2500
,,12,0.7055,0.2500
,,13,0.7855,0.3333
,,14,0.7868,0.5000
,2010,,,
,,1,0.2857,0.3333
,,2,0.4286,0.2000
,,3,0.4286,0.5000
,,4,0.7143,0.5000
,,5,0.7143,0.7500
,,6,0.8571,0.0000
,,7,0.8571,1.0000
,,8,0.8571,0.5000
,,9,0.8362,0.0000
,,10,0.8362,0.8000
,,11,0.8624,1.0000
,,12,0.8624,1.0000
,,13,0.8624,0.7500
,,14,0.8624,0.6667
,2011,,,
,,1,0.2857,0.4000
,,2,0.4286,0.7500
,,3,0.4286,0.5000
,,4,0.5714,0.2500
,,5,0.7143,1.0000
,,6,0.8571,0.6667
,,7,0.8571,0.6000
,,8,0.8571,1.0000
,,9,0.8407,0.6000
,,10,0.8517,0.7500
,,11,0.8927,0.5000
,,12,0.8927,0.7500
,,13,0.8816,0.6667
,,14,0.8665,0.5000
,2012,,,
,,1,0.2857,0.0000
,,2,0.2857,0.6667
,,3,0.4286,0.4286
,,4,0.5714,0.3333
,,5,0.7143,1.0000
,,6,0.8571,0.7500
,,7,0.8049,0.7500
,,8,0.8049,0.7500
,,9,0.8096,1.0000
,,10,0.9044,0.8000
,,11,0.8520,0.5000
,,12,0.8506,0.7500
,,13,0.8792,1.0000
,,14,0.8719,0.0000
,2013,,,
,,1,0.1429,0.0000
,,2,0.2857,0.5000
,,3,0.4286,0.6000
,,4,0.5714,0.5000
,,5,0.5714,0.0000
,,6,0.6969,0.3333
,,7,0.8015,0.5000
,,8,0.8022,0.7500
,,9,0.7968,0.6667
,,10,0.7525,0.2000
,,11,0.7303,0.5000
,,12,0.6786,0.2000
,,13,0.7386,0.7500
,,14,0.7386,0.5000
,2014,,,
,,1,0.1429,0.0000
,,2,0.2857,0.5714
,,3,0.4286,0.7500
,,4,0.4286,1.0000
,,5,0.5714,0.5000
,,6,0.7884,0.5000
,,7,0.8571,0.5000
,,8,0.8296,1.0000
,,9,0.8370,0.7500
,,10,0.8387,0.5000
,,11,0.8387,0.7500
,,12,0.8974,0.8333
,,13,0.9006,0.5000
,,14,0.9266,1.0000
,2015,,,
,,1,0.1429,0.0000
,,2,0.2857,0.4286
,,3,0.4286,1.0000
,,4,0.4871,0.6667
,,5,0.5714,0.2500
,,6,0.7677,0.8000
,,7,0.8545,0.6667
,,8,0.8090,0.8000
,,9,0.8214,0.2500
,,10,0.8028,0.5000
,,11,0.8023,0.7500
,,12,0.7599,0.6667
,,13,0.7787,0.5000
,,14,0.7793,0.5000
,2016,,,
,,1,0.1429,0.0000
,,2,0.2857,0.8000
,,3,0.4286,0.5000
,,4,0.5714,0.2500
,,5,0.7143,1.0000
,,6,0.8504,0.7500
,,7,0.7918,0.0000
,,8,0.8214,0.6000
,,9,0.8214,1.0000
,,10,0.8674,0.6000
,,11,0.8674,0.8000
,,12,0.8522,0.5000
,,13,0.8214,0.5000
,,14,0.8214,1.0000
,2017,,,
,,1,0.2857,0.5000
,,2,0.4286,0.5000
,,3,0.4286,1.0000
,,4,0.5714,0.5000
,,5,0.7143,0.7500
,,6,0.7143,1.0000
,,7,0.8571,0.7500
,,8,0.8050,0.2500
,,9,0.7987,0.5000
,,10,0.8214,0.5000
,,11,0.8214,0.7500
,,12,0.8214,0.7500
,,13,0.8214,0.5000
,,14,0.7857,0.5000
,2018,,,
,,1,0.2857,0.2000
,,2,0.4286,0.6000
,,3,0.4286,1.0000
,,4,0.5714,0.7143
,,5,0.7143,0.7500
,,6,0.7143,1.0000
,,7,0.8523,0.5000
,,8,0.8439,0.0000
,,9,0.8443,0.7500
,,10,0.8054,0.5000
,,11,0.8063,0.7500
,,12,0.8560,0.5000
,,13,0.8214,0.2500
,,14,0.8214,1.0000
,2019,,,
,,1,0.1429,0.2000
,,2,0.1429,0.3333
,,3,0.2857,0.5000
,,4,0.4286,0.7500
,,5,0.4995,0.5000
,,6,0.5971,0.2500
,,7,0.7352,0.5000
,,8,0.8195,1.0000
,,9,0.8016,0.2500
,,10,0.8175,0.5000
,,11,0.7935,0.7500
,,12,0.7425,0.2500
,,13,0.6933,0.2500
,,14,0.6933,0.7500
Patriot League,Year,Round,Rank,Forw-Pred
,2002,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.3571,0.0000
,,4,0.4286,0.2500
,,5,0.5619,0.5000
,,6,0.6093,0.2500
,,7,0.7087,0.2500
,,8,0.7130,0.5000
,,9,0.7143,0.5000
,,10,0.7143,0.5000
,,11,0.7024,0.5000
,,12,0.7194,0.7500
,,13,0.7137,0.7500
,,14,0.6969,0.0000
,2003,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.7500
,,4,0.5714,0.7500
,,5,0.7143,0.7500
,,6,0.7063,0.2500
,,7,0.8316,0.5000
,,8,0.8047,0.5000
,,9,0.8047,1.0000
,,10,0.8025,0.7500
,,11,0.8886,0.7500
,,12,0.8504,0.5000
,,13,0.8537,0.5000
,,14,0.8654,1.0000
,2004,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7500
,,3,0.4286,0.2500
,,4,0.5714,0.5000
,,5,0.7143,1.0000
,,6,0.8571,0.7500
,,7,0.8571,1.0000
,,8,0.8571,0.2500
,,9,0.8621,0.5000
,,10,0.8621,0.7500
,,11,0.8529,0.7500
,,12,0.8613,0.7500
,,13,0.8066,0.2500
,,14,0.7276,0.0000
,2005,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.5000
,,4,0.5714,0.7500
,,5,0.7143,0.5000
,,6,0.7169,0.5000
,,7,0.8040,0.5000
,,8,0.8423,1.0000
,,9,0.8402,0.7500
,,10,0.8205,0.7500
,,11,0.8394,0.7500
,,12,0.8387,0.5000
,,13,0.9243,0.5000
,,14,0.9237,0.7500
,2006,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7500
,,3,0.4286,0.5000
,,4,0.7143,0.7143
,,5,0.8571,0.3333
,,6,0.8571,0.4000
,,7,0.8571,1.0000
,,8,0.8571,1.0000
,,9,0.8571,1.0000
,,10,0.8571,0.7500
,,11,0.8571,1.0000
,,12,0.8537,0.6667
,,13,0.9088,1.0000
,,14,0.9088,0.5000
,2007,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7500
,,3,0.4286,0.0000
,,4,0.5714,0.7500
,,5,0.7143,1.0000
,,6,0.8571,0.2500
,,7,0.8354,0.5000
,,8,0.8354,0.8333
,,9,0.7980,0.7500
,,10,0.8214,0.3333
,,11,0.8214,0.8000
,,12,0.8214,0.0000
,,13,0.8214,0.7500
,,14,0.8214,0.7500
,2008,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.5000
,,4,0.5714,0.5000
,,5,0.6184,0.2500
,,6,0.7298,0.2500
,,7,0.7143,0.0000
,,8,0.6499,0.5000
,,9,0.6780,0.2500
,,10,0.6769,0.0000
,,11,0.6063,0.6000
,,12,0.6539,0.5000
,,13,0.6182,0.0000
,,14,0.6503,0.5000
,2009,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7500
,,3,0.4286,0.5000
,,4,0.5282,0.0000
,,5,0.6776,0.5000
,,6,0.7471,0.7500
,,7,0.8103,0.5000
,,8,0.8103,0.7500
,,9,0.8024,0.7500
,,10,0.8277,0.5000
,,11,0.8167,0.5000
,,12,0.8214,0.6667
,,13,0.7857,0.5000
,,14,0.7857,1.0000
,2010,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.0000
,,4,0.5714,0.5000
,,5,0.5760,0.0000
,,6,0.6847,0.2500
,,7,0.7041,0.7500
,,8,0.6947,0.2500
,,9,0.6865,0.0000
,,10,0.6845,0.5000
,,11,0.7384,0.7500
,,12,0.7186,0.2500
,,13,0.7310,0.2500
,,14,0.7309,0.5000
,2011,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.5000
,,4,0.5714,0.5000
,,5,0.7143,0.2500
,,6,0.7625,0.2500
,,7,0.7250,0.2500
,,8,0.7018,0.5000
,,9,0.7018,0.5000
,,10,0.7596,0.7500
,,11,0.7596,0.5000
,,12,0.7596,0.7500
,,13,0.7582,1.0000
,,14,0.8116,0.7500
,2012,,,
,,1,0.1429,0.0000
,,2,0.2857,0.7500
,,3,0.4286,0.2500
,,4,0.5714,0.7500
,,5,0.7143,0.5000
,,6,0.8571,0.7500
,,7,0.8571,0.7500
,,8,0.9190,1.0000
,,9,0.9129,0.7500
,,10,0.8571,0.7500
,,11,0.8571,0.5000
,,12,0.8571,0.7500
,,13,0.8571,1.0000
,,14,0.8571,1.0000
,2013,,,
,,1,0.1429,0.0000
,,2,0.2857,0.2500
,,3,0.4286,0.5000
,,4,0.5714,0.0000
,,5,0.5766,0.2500
,,6,0.7150,0.7500
,,7,0.8349,0.5000
,,8,0.8349,0.7500
,,9,0.8349,0.7500
,,10,0.7709,0.5000
,,11,0.8571,0.5000
,,12,0.8571,0.7500
,,13,0.8571,1.0000
,,14,0.8571,0.7500
,2014,,,
,,1,0.1111,0.0000
,,2,0.2222,0.2000
,,3,0.3333,0.8000
,,4,0.4444,0.8000
,,5,0.5556,0.6000
,,6,0.6667,0.8000
,,7,0.7778,0.4000
,,8,0.8889,1.0000
,,9,0.8808,0.8000
,,10,0.8799,0.6000
,,11,0.8803,0.6000
,,12,0.8798,0.4000
,,13,0.8531,0.6000
,,14,0.7979,0.4000
,,15,0.8333,0.8000
,,16,0.8152,0.4000
,,17,0.8148,0.8000
,,18,0.8127,0.6000
,2015,,,
,,1,0.1111,0.0000
,,2,0.2222,0.2000
,,3,0.3333,0.2000
,,4,0.3491,0.2000
,,5,0.4406,0.2000
,,6,0.5433,0.4000
,,7,0.5581,0.2000
,,8,0.6462,0.4000
,,9,0.6855,0.2000
,,10,0.6846,0.2000
,,11,0.6372,0.0000
,,12,0.7102,0.6000
,,13,0.6881,0.6000
,,14,0.6848,0.2000
,,15,0.6877,0.6000
,,16,0.7107,0.2000
,,17,0.6779,0.4000
,,18,0.6733,0.6000
,2016,,,
,,1,0.1111,0.0000
,,2,0.2222,0.4000
,,3,0.3333,0.6000
,,4,0.4444,0.4000
,,5,0.5556,0.4000
,,6,0.5561,0.4000
,,7,0.6682,0.6000
,,8,0.8074,0.4286
,,9,0.8039,0.4000
,,10,0.8165,0.1429
,,11,0.8196,0.6000
,,12,0.8213,0.5000
,,13,0.7656,0.5000
,,14,0.7656,0.6000
,,15,0.7625,0.8000
,,16,0.7521,0.6000
,,17,0.7544,0.6000
,,18,0.7567,0.6000
,2017,,,
,,1,0.1111,0.0000
,,2,0.2222,0.2000
,,3,0.3333,0.6000
,,4,0.4444,0.4000
,,5,0.5556,0.2000
,,6,0.5598,0.2000
,,7,0.6574,0.4000
,,8,0.7566,0.8000
,,9,0.8083,0.8000
,,10,0.8071,0.8000
,,11,0.8556,0.2000
,,12,0.8597,0.8000
,,13,0.8321,0.6000
,,14,0.8371,0.6000
,,15,0.8054,0.2000
,,16,0.8067,0.6000
,,17,0.7703,0.4000
,,18,0.7430,0.6000
,2018,,,
,,1,0.1111,0.0000
,,2,0.2222,0.2000
,,3,0.2566,0.4000
,,4,0.3723,0.2000
,,5,0.4692,0.4000
,,6,0.5759,0.6000
,,7,0.6571,0.4000
,,8,0.7767,0.8000
,,9,0.7904,0.4000
,,10,0.8005,0.6000
,,11,0.7982,0.6000
,,12,0.7976,0.6000
,,13,0.8306,0.4000
,,14,0.8320,0.6000
,,15,0.8339,0.4000
,,16,0.8475,1.0000
,,17,0.8589,0.8000
,,18,0.8599,1.0000
,2019,,,
,,1,0.1111,0.0000
,,2,0.2222,0.2000
,,3,0.3333,0.2000
,,4,0.3333,0.0000
,,5,0.4517,0.6000
,,6,0.5243,0.0000
,,7,0.6356,0.8000
,,8,0.6445,0.4000
,,9,0.6991,0.4000
,,10,0.7831,0.6000
,,11,0.7551,0.2000
,,12,0.8137,0.6000
,,13,0.8193,0.6000
,,14,0.7555,0.4000
,,15,0.7337,0.2000
,,16,0.7300,0.4000
,,17,0.7119,0.6000
,,18,0.7114,0.6000
West Coast,Year,Round,Rank,Forw-Pred
,2002,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.4286,0.5000
,,4,0.5714,0.5000
,,5,0.7143,0.2500
,,6,0.8571,0.7500
,,7,0.8571,1.0000
,,8,0.8571,0.7500
,,9,0.8571,0.7500
,,10,0.8571,1.0000
,,11,0.8587,0.7500
,,12,0.8711,0.2500
,,13,0.8929,0.7500
,,14,0.8929,1.0000
,2003,,,
,,1,0.1429,0.0000
,,2,0.4286,0.4000
,,3,0.5714,0.5000
,,4,0.7143,0.4000
,,5,0.8276,0.5000
,,6,0.8276,1.0000
,,7,0.8276,0.5000
,,8,0.8213,0.4000
,,9,0.8214,0.7500
,,10,0.8134,0.7500
,,11,0.7751,0.6667
,,12,0.7751,0.6667
,,13,0.7757,1.0000
,,14,0.7757,0.7500
,2004,,,
,,1,0.4286,0.3333
,,2,0.5714,0.5000
,,3,0.5714,0.2500
,,4,0.7143,0.7500
,,5,0.8571,0.5000
,,6,0.8302,0.8000
,,7,0.8447,0.6000
,,8,0.8402,0.2500
,,9,0.8392,0.7500
,,10,0.8392,1.0000
,,11,0.8514,0.7500
,,12,0.8514,1.0000
,,13,0.8571,0.7500
,,14,0.8571,0.7500
,2005,,,
,,1,0.1429,0.0000
,,2,0.2857,0.2500
,,3,0.4150,0.0000
,,4,0.4523,0.4000
,,5,0.5946,0.7500
,,6,0.6979,0.5000
,,7,0.7525,0.7500
,,8,0.7172,0.0000
,,9,0.7765,0.5000
,,10,0.7788,0.2500
,,11,0.7402,0.5000
,,12,0.7790,1.0000
,,13,0.7740,0.6667
,,14,0.8127,0.6667
,2006,,,
,,1,0.1429,0.0000
,,2,0.2857,0.0000
,,3,0.5714,0.5000
,,4,0.7143,0.5000
,,5,0.8571,0.5000
,,6,0.8559,0.7500
,,7,0.8556,0.5000
,,8,0.8571,0.7500
,,9,0.8571,0.7500
,,10,0.8571,0.7500
,,11,0.8571,0.5000
,,12,0.8201,0.2500
,,13,0.7759,0.7500
,,14,0.8214,0.5000
,2007,,,
,,1,0.1429,0.0000
,,2,0.4286,0.8333
,,3,0.4286,0.5000
,,4,0.4567,0.0000
,,5,0.5967,0.5000
,,6,0.6915,0.2500
,,7,0.8229,1.0000
,,8,0.7865,0.5000
,,9,0.7574,0.2500
,,10,0.8204,0.7500
,,11,0.7802,0.5000
,,12,0.7802,0.5000
,,13,0.8149,0.7500
,,14,0.7681,0.7500
,2008,,,
,,1,0.1429,0.0000
,,2,0.4286,0.5000
,,3,0.5714,1.0000
,,4,0.5714,0.3333
,,5,0.7143,0.6667
,,6,0.8571,0.7500
,,7,0.8571,0.5000
,,8,0.8571,0.7143
,,9,0.8571,0.7500
,,10,0.8571,0.5000
,,11,0.8571,1.0000
,,12,0.8611,1.0000
,,13,0.8571,0.5000
,,14,0.8571,0.7500
,2009,,,
,,1,0.1429,0.0000
,,2,0.4286,1.0000
,,3,0.5714,1.0000
,,4,0.7143,0.6667
,,5,0.7143,0.6667
,,6,0.8571,0.5000
,,7,1.0000,0.2500
,,8,0.9643,0.7500
,,9,0.9079,0.5000
,,10,0.9099,0.5000
,,11,0.9099,1.0000
,,12,0.8789,0.6667
,,13,0.8836,0.5000
,,14,0.8630,0.5000
,2010,,,
,,1,0.1429,0.0000
,,2,0.2857,0.5000
,,3,0.4286,0.2500
,,4,0.5714,0.0000
,,5,0.7143,0.5000
,,6,0.8571,0.7500
,,7,0.8261,0.5000
,,8,0.8434,0.7500
,,9,0.8073,0.6667
,,10,0.8128,0.5000
,,11,0.8197,0.5000
,,12,0.7968,0.7500
,,13,0.7968,1.0000
,,14,0.8018,0.7500
,2011,,,
,,1,0.2857,0.0000
,,2,0.4286,0.7500
,,3,0.5714,1.0000
,,4,0.7143,0.3333
,,5,0.7143,0.0000
,,6,0.8571,1.0000
,,7,0.7857,0.5000
,,8,0.7857,0.5000
,,9,0.7500,0.7500
,,10,0.7500,1.0000
,,11,0.7500,0.5000
,,12,0.7532,0.0000
,,13,0.7999,0.7500
,,14,0.7879,1.0000
,2012,,,
,,1,0.3750,0.3000
,,2,0.3750,1.0000
,,3,0.5000,0.6000
,,4,0.7500,0.5000
,,5,0.8750,0.7143
,,6,0.8750,0.6667
,,7,0.8750,1.0000
,,8,0.8750,0.7500
,,9,0.8750,0.8571
,,10,0.8750,1.0000
,,11,0.9063,0.8000
,,12,0.9063,1.0000
,,13,0.8750,0.8000
,,14,0.8694,0.3333
,,15,0.8750,0.5000
,,16,0.8750,1.0000
,2013,,,
,,1,0.2500,0.2500
,,2,0.3750,0.7500
,,3,0.5000,0.7500
,,4,0.5000,0.7500
,,5,0.6250,0.2500
,,6,0.7500,1.0000
,,7,0.8750,0.8000
,,8,0.8750,0.8000
,,9,0.8750,0.5000
,,10,0.8750,0.5000
,,11,0.8750,0.4000
,,12,0.8750,1.0000
,,13,0.8750,0.5000
,,14,0.8750,1.0000
,,15,0.8750,0.7500
,,16,0.8750,1.0000
,2014,,,
,,1,0.1111,0.0000
,,2,0.3333,0.5000
,,3,0.4444,0.6667
,,4,0.4444,0.1667
,,5,0.4467,0.4000
,,6,0.6320,0.6250
,,7,0.6242,0.2500
,,8,0.7531,0.6000
,,9,0.8131,0.8000
,,10,0.8052,0.5000
,,11,0.8033,1.0000
,,12,0.8411,0.6000
,,13,0.8421,0.7500
,,14,0.8470,0.4000
,,15,0.8611,0.2000
,,16,0.8394,0.7500
,,17,0.8116,0.7500
,,18,0.8118,0.6000
,2015,,,
,,1,0.2222,0.1667
,,2,0.3333,0.1667
,,3,0.4444,0.7500
,,4,0.4444,0.5000
,,5,0.5556,0.8000
,,6,0.6667,0.7500
,,7,0.7778,0.6000
,,8,0.8861,0.2500
,,9,0.8041,0.4000
,,10,0.8077,0.8000
,,11,0.8437,0.5000
,,12,0.8376,0.6000
,,13,0.8833,0.5000
,,14,0.8809,0.8000
,,15,0.8963,0.8000
,,16,0.8611,0.5000
,,17,0.8333,0.7500
,,18,0.8333,0.4000
,2016,,,
,,1,0.3333,0.4167
,,2,0.4444,0.2500
,,3,0.5556,0.8000
,,4,0.5603,0.4000
,,5,0.5741,0.0000
,,6,0.6847,0.6000
,,7,0.6938,0.5000
,,8,0.8612,0.6000
,,9,0.8612,1.0000
,,10,0.8325,0.4000
,,11,0.7794,0.3333
,,12,0.7819,0.6000
,,13,0.7819,0.6000
,,14,0.7819,1.0000
,,15,0.8001,0.8000
,,16,0.7943,0.4000
,,17,0.8124,0.7500
,,18,0.8057,0.4000
,2017,,,
,,1,0.1111,0.0000
,,2,0.2222,0.8000
,,3,0.3333,0.2000
,,4,0.5556,0.6667
,,5,0.5556,0.2000
,,6,0.6667,0.6000
,,7,0.7778,0.5000
,,8,0.7778,1.0000
,,9,0.8482,0.4000
,,10,0.8553,1.0000
,,11,0.8591,0.8000
,,12,0.8611,0.8000
,,13,0.8611,0.4000
,,14,0.8611,0.6000
,,15,0.8864,1.0000
,,16,0.8889,0.6000
,,17,0.8889,0.8000
,,18,0.8718,0.8000
,2018,,,
,,1,0.1111,0.0000
,,2,0.2222,0.2000
,,3,0.3333,0.8000
,,4,0.4444,0.6000
,,5,0.5556,0.6000
,,6,0.6667,0.8000
,,7,0.7778,0.6000
,,8,0.7778,0.8000
,,9,0.7778,0.4000
,,10,0.8889,1.0000
,,11,0.8889,0.6000
,,12,0.8889,0.8000
,,13,0.8889,1.0000
,,14,0.8966,0.6000
,,15,0.9042,0.8000
,,16,0.8949,0.6000
,,17,0.8945,0.6000
,,18,0.8940,0.4000
