AFC,Year,Round,Rank,Forw-Pred
,2002,,,
,,1,1.0000,0.0000
,,2,1.0000,0.3333
,,3,1.0000,0.8000
,,4,0.9333,0.3333
,,5,0.9449,0.6667
,,6,0.9365,0.5000
,,7,0.9304,0.3333
,,8,0.9270,0.5000
,,9,0.9032,0.2000
,,10,0.9053,0.5000
,,11,0.9022,0.6667
,,12,0.9103,0.4000
,,13,0.9237,0.8333
,,14,0.8901,0.5000
,,15,0.8835,0.4286
,,16,0.8919,0.4000
,,17,0.8768,0.6667
,2003,,,
,,1,1.0000,0.0000
,,2,1.0000,0.2857
,,3,1.0000,0.7143
,,4,1.0000,0.6000
,,5,0.9333,0.6000
,,6,0.9148,0.4000
,,7,0.9057,0.2000
,,8,0.9161,0.8333
,,9,0.9194,1.0000
,,10,0.9262,0.8000
,,11,0.9142,0.5000
,,12,0.9333,1.0000
,,13,0.9333,0.6000
,,14,0.9272,0.4286
,,15,0.9333,0.8000
,,16,0.9333,0.8333
,,17,0.9000,0.5000
,2004,,,
,,1,1.0000,0.0000
,,2,1.0000,0.0000
,,3,1.0000,0.4000
,,4,1.0000,0.4286
,,5,0.9449,0.8000
,,6,0.9497,1.0000
,,7,0.9474,0.2500
,,8,0.9296,0.3333
,,9,0.9331,0.0000
,,10,0.9258,0.5000
,,11,0.9305,0.8000
,,12,0.9221,0.6000
,,13,0.9201,0.7500
,,14,0.9146,1.0000
,,15,0.9128,0.5000
,,16,0.9277,0.5714
,,17,0.9000,0.6667
,2005,,,
,,1,1.0000,0.0000
,,2,1.0000,0.5000
,,3,0.9333,0.2500
,,4,0.9268,0.6000
,,5,0.9330,0.7500
,,6,0.9493,0.8333
,,7,0.9461,0.5000
,,8,0.9339,0.2000
,,9,0.9224,0.8333
,,10,0.9313,0.8333
,,11,0.9292,0.7143
,,12,0.9261,0.5000
,,13,0.9265,0.7500
,,14,0.9134,0.7143
,,15,0.9139,0.7500
,,16,0.9125,0.7143
,,17,0.9298,0.5000
,2006,,,
,,1,1.0000,0.0000
,,2,1.0000,0.5000
,,3,1.0000,0.3333
,,4,1.0000,0.2000
,,5,1.0000,0.6000
,,6,1.0000,0.6667
,,7,0.9563,0.5000
,,8,0.9282,0.0000
,,9,0.9333,0.8000
,,10,0.9333,0.5714
,,11,0.9200,0.2500
,,12,0.9333,0.6667
,,13,0.9229,0.5000
,,14,0.9273,0.3750
,,15,0.9239,0.8333
,,16,0.9244,0.5714
,,17,0.9051,0.7143
,2007,,,
,,1,1.0000,0.0000
,,2,1.0000,0.5000
,,3,1.0000,0.2000
,,4,1.0000,0.5000
,,5,1.0000,0.5000
,,6,1.0000,0.5000
,,7,1.0000,0.2857
,,8,0.9449,1.0000
,,9,0.9333,0.7500
,,10,0.9232,0.3333
,,11,0.9289,0.5000
,,12,0.9339,0.6667
,,13,0.9372,0.7143
,,14,0.9325,1.0000
,,15,0.9214,0.7143
,,16,0.9180,0.8333
,,17,0.8941,0.5000
,2008,,,
,,1,1.0000,0.0000
,,2,1.0000,0.6667
,,3,0.9497,0.5000
,,4,0.9333,0.4000
,,5,0.9242,0.7500
,,6,0.9168,0.2000
,,7,0.9219,0.5000
,,8,0.9179,0.6667
,,9,0.9193,0.4000
,,10,0.9238,0.4000
,,11,0.8894,0.5385
,,12,0.9087,0.8182
,,13,0.9051,0.8000
,,14,0.9070,0.3333
,,15,0.9239,0.8571
,2009,,,
,,1,1.0000,0.0000
,,2,1.0000,0.3333
,,3,1.0000,0.6667
,,4,1.0000,0.3333
,,5,0.9435,0.4000
,,6,0.9306,0.6000
,,7,0.9408,1.0000
,,8,0.9395,0.4000
,,9,0.9274,0.4000
,,10,0.9251,0.5000
,,11,0.9333,0.4286
,,12,0.9333,0.6000
,,13,0.9236,0.7143
,,14,0.9000,0.2500
,,15,0.9000,0.6667
,,16,0.9000,0.4286
,,17,0.8667,0.1429
,2010,,,
,,1,1.0000,0.0000
,,2,0.9333,0.2000
,,3,0.9373,0.5000
,,4,0.9386,0.4286
,,5,0.9417,0.5000
,,6,0.9287,0.6000
,,7,0.9295,0.8000
,,8,0.9245,0.2500
,,9,0.9075,0.4000
,,10,0.9097,0.3333
,,11,0.8974,0.7273
,,12,0.9333,0.5385
,,13,0.9000,0.1667
,,14,0.8667,0.6667
,,15,0.8667,0.7500
,2011,,,
,,1,1.0000,0.0000
,,2,1.0000,0.2857
,,3,1.0000,0.3333
,,4,0.9313,0.3333
,,5,0.9259,0.6667
,,6,0.9310,0.8000
,,7,0.8994,0.2000
,,8,0.9102,0.5000
,,9,0.9049,0.3333
,,10,0.8977,0.6000
,,11,0.8875,0.4000
,,12,0.8941,0.8000
,,13,0.9009,0.9091
,,14,0.9008,0.5000
,,15,0.9007,0.6667
,,16,0.9072,0.5000
,2012,,,
,,1,1.0000,0.0000
,,2,1.0000,0.3333
,,3,0.9373,0.3333
,,4,0.9373,0.6667
,,5,0.9539,0.3750
,,6,0.9373,0.3333
,,7,0.9312,0.2500
,,8,0.9423,0.8000
,,9,0.9333,0.8182
,,10,0.9167,0.5714
,,11,0.9218,0.5000
,,12,0.9257,0.6667
,,13,0.9069,0.6000
,,14,0.9208,0.8333
,,15,0.9193,0.6250
,2013,,,
,,1,1.0000,0.1538
,,2,1.0000,0.5000
,,3,0.9461,0.5000
,,4,0.9444,0.2000
,,5,0.9407,0.6000
,,6,0.9060,0.3333
,,7,0.9133,0.5000
,,8,0.9150,0.6000
,,9,0.9195,0.5000
,,10,0.9130,0.5000
,,11,0.9143,0.1667
,,12,0.9118,0.7143
,,13,0.8667,0.6667
,,14,0.8667,0.3333
,,15,0.8667,0.5714
,,16,0.8990,0.7500
,2014,,,
,,1,1.0000,0.0000
,,2,1.0000,0.5000
,,3,1.0000,0.3333
,,4,1.0000,0.6000
,,5,0.9285,0.4000
,,6,0.9312,0.6667
,,7,0.9370,0.5000
,,8,0.9319,0.6000
,,9,0.9316,0.6000
,,10,0.9223,0.6000
,,11,0.9159,0.8000
,,12,0.9118,0.8333
,,13,0.9185,1.0000
,,14,0.9000,0.5000
,,15,0.9000,0.6250
,2015,,,
,,1,1.0000,0.0000
,,2,1.0000,0.2857
,,3,1.0000,0.6000
,,4,1.0000,0.4000
,,5,0.9373,0.6000
,,6,0.9373,0.6000
,,7,0.9373,0.4000
,,8,0.9232,0.6000
,,9,0.9245,0.6000
,,10,0.9060,0.4444
,,11,0.9091,0.6667
,,12,0.9093,0.4286
,,13,0.9169,0.5000
,,14,0.9167,0.6000
,,15,0.9149,0.5714
,,16,0.9244,0.7500
,2016,,,
,,1,1.0000,0.0000
,,2,1.0000,0.1429
,,3,1.0000,0.2857
,,4,0.9333,0.1667
,,5,0.9333,0.7500
,,6,0.9275,0.5000
,,7,0.9174,0.6667
,,8,0.9403,0.2000
,,9,0.9457,1.0000
,,10,0.9216,0.7000
,,11,0.9290,0.6000
,,12,0.9141,0.8571
,,13,0.9114,0.6250
,,14,0.9123,0.5000
,2017,,,
,,1,1.0000,0.2500
,,2,1.0000,0.3333
,,3,0.9449,0.2000
,,4,0.9143,0.5000
,,5,0.9241,0.4545
,,6,0.9085,0.5000
,,7,0.9195,1.0000
,,8,0.9228,0.8000
,,9,0.9060,0.8333
,,10,0.9228,0.8571
,,11,0.9186,0.5455
,,12,0.9118,0.8000
,,13,0.9006,0.6250
,2018,,,
,,1,1.0000,0.1667
,,2,1.0000,0.2857
,,3,1.0000,0.5000
,,4,0.9324,0.5385
,,5,0.9369,0.3333
,,6,0.9332,0.5000
,,7,0.9265,0.6000
,,8,0.9221,0.7500
,,9,0.9333,0.2500
,,10,0.9041,0.2500
,,11,0.9322,0.5714
,,12,0.9310,0.8571
,,13,0.8667,0.4286
,,14,0.8667,0.4000
,,15,0.8333,0.4000
,,16,0.8333,0.8750
NFC,Year,Round,Rank,Forw-Pred
,2002,,,
,,1,1.0000,0.0000
,,2,1.0000,0.1667
,,3,1.0000,0.7143
,,4,0.9563,0.2000
,,5,0.9703,0.8000
,,6,0.9446,0.4000
,,7,0.9305,0.4286
,,8,0.9333,0.3333
,,9,0.9000,0.6000
,,10,0.9000,0.7500
,,11,0.9000,0.6667
,,12,0.8667,0.5455
,,13,0.8667,0.8333
,,14,0.8667,0.4286
,,15,0.8667,0.6000
,,16,0.8667,0.3333
,2003,,,
,,1,1.0000,0.0000
,,2,1.0000,0.2857
,,3,0.9333,0.4000
,,4,0.9373,0.7500
,,5,0.9333,0.5000
,,6,0.9422,1.0000
,,7,0.9426,0.5000
,,8,0.9333,0.2000
,,9,0.9333,0.4000
,,10,0.9126,0.2000
,,11,0.9106,1.0000
,,12,0.9000,0.4545
,,13,0.9000,0.4286
,,14,0.9000,0.8000
,,15,0.9000,0.5000
,,16,0.8333,0.3333
,2004,,,
,,1,1.0000,0.0000
,,2,1.0000,0.1667
,,3,1.0000,0.5000
,,4,0.9449,0.6000
,,5,0.9492,0.2000
,,6,0.9449,0.8000
,,7,0.9233,0.5000
,,8,0.9349,0.4000
,,9,0.9016,0.3333
,,10,0.9080,0.6667
,,11,0.8911,0.8000
,,12,0.8790,0.4000
,,13,0.8749,0.5000
,,14,0.8735,0.3333
,,15,0.8785,0.6667
,,16,0.8791,0.4286
,,17,0.8831,0.3333
,2005,,,
,,1,1.0000,0.0000
,,2,1.0000,0.1667
,,3,1.0000,0.5000
,,4,0.9333,0.5000
,,5,0.9333,0.5000
,,6,0.9333,0.7500
,,7,0.9333,0.5000
,,8,0.9291,0.6000
,,9,0.9333,1.0000
,,10,0.9327,0.5714
,,11,0.9306,0.7273
,,12,0.9333,0.7500
,,13,0.9291,0.8571
,,14,0.9315,1.0000
,,15,0.9311,0.5714
,,16,0.9223,0.5000
,2006,,,
,,1,1.0000,0.0000
,,2,1.0000,0.6250
,,3,0.9333,0.1429
,,4,0.9497,0.6000
,,5,0.9449,0.8000
,,6,0.9563,0.5000
,,7,0.9563,0.3333
,,8,0.9483,0.5000
,,9,0.9384,0.2500
,,10,0.9158,0.8571
,,11,0.9046,0.2500
,,12,0.9190,0.6667
,,13,0.9069,0.6667
,,14,0.9056,0.6429
,,15,0.9167,0.5714
,,16,0.8667,0.4286
,2007,,,
,,1,1.0000,0.0000
,,2,1.0000,0.5000
,,3,1.0000,0.6000
,,4,0.9449,0.5000
,,5,0.9282,0.5000
,,6,0.9174,0.6000
,,7,0.9150,0.5714
,,8,0.9022,0.6667
,,9,0.9022,0.6667
,,10,0.9025,0.4286
,,11,0.9000,0.8333
,,12,0.9000,0.5000
,,13,0.9000,0.7143
,,14,0.9000,1.0000
,,15,0.9000,0.5714
,,16,0.9000,0.3333
,,17,0.8333,0.3333
,2008,,,
,,1,1.0000,0.0000
,,2,1.0000,0.2857
,,3,1.0000,0.5000
,,4,1.0000,0.0000
,,5,0.9207,0.6000
,,6,0.9350,0.2857
,,7,0.9280,0.4000
,,8,0.9165,0.2000
,,9,0.9170,1.0000
,,10,0.9217,1.0000
,,11,0.9253,0.5000
,,12,0.9351,0.6923
,,13,0.9436,0.3000
,,14,0.9306,0.6667
,,15,0.9182,0.5714
,2009,,,
,,1,1.0000,0.0000
,,2,1.0000,0.3333
,,3,1.0000,0.5000
,,4,1.0000,0.7500
,,5,1.0000,0.5000
,,6,1.0000,0.6000
,,7,0.9333,0.3333
,,8,0.9287,0.6667
,,9,0.9320,0.5000
,,10,0.9333,0.6667
,,11,0.9258,0.7143
,,12,0.9276,1.0000
,,13,0.9300,0.5714
,,14,0.9300,0.7500
,,15,0.9267,0.5000
,,16,0.9096,0.7143
,,17,0.9252,0.7143
,2010,,,
,,1,1.0000,0.0000
,,2,1.0000,0.6000
,,3,1.0000,0.5000
,,4,1.0000,0.5000
,,5,0.9297,0.4000
,,6,0.9220,0.4000
,,7,0.9231,0.3333
,,8,0.9228,0.6667
,,9,0.9107,0.8000
,,10,0.9000,0.3333
,,11,0.8949,0.6667
,,12,0.8987,0.4000
,,13,0.9100,1.0000
,,14,0.9142,0.7143
,,15,0.8990,0.3333
,,16,0.8667,0.3333
,,17,0.8667,0.3750
,2011,,,
,,1,1.0000,0.0000
,,2,1.0000,0.1429
,,3,1.0000,0.3333
,,4,1.0000,0.6667
,,5,1.0000,0.5000
,,6,0.9449,0.3333
,,7,0.9155,0.4000
,,8,0.9093,0.3333
,,9,0.9151,0.6000
,,10,0.8940,0.6000
,,11,0.9077,0.8333
,,12,0.8917,0.6364
,,13,0.8852,0.6000
,,14,0.8900,0.5000
,,15,0.8868,0.5000
,,16,0.8978,0.8750
,2012,,,
,,1,1.0000,0.0000
,,2,1.0000,0.0000
,,3,1.0000,0.0000
,,4,1.0000,0.1667
,,5,0.9373,0.5000
,,6,0.9289,0.0000
,,7,0.9190,0.4615
,,8,0.9081,0.4000
,,9,0.9133,0.5000
,,10,0.9252,0.6667
,,11,0.9000,0.5000
,,12,0.8667,0.4000
,,13,0.8667,0.6667
,,14,0.9000,0.6250
,2013,,,
,,1,1.0000,0.0000
,,2,1.0000,0.3333
,,3,1.0000,0.7500
,,4,1.0000,0.3333
,,5,1.0000,0.5000
,,6,1.0000,0.8000
,,7,0.9432,0.5000
,,8,0.9331,0.7000
,,9,0.9342,0.6000
,,10,0.9252,0.6923
,,11,0.9333,0.6667
,,12,0.9320,0.5000
,,13,0.9077,0.5714
,,14,0.9282,0.8750
,2014,,,
,,1,1.0000,0.0000
,,2,1.0000,0.2500
,,3,1.0000,0.5000
,,4,0.9449,0.0000
,,5,0.9333,0.6667
,,6,0.9333,0.6667
,,7,0.9287,0.5000
,,8,0.9294,0.5000
,,9,0.9182,0.8333
,,10,0.9006,0.3333
,,11,0.9043,0.8000
,,12,0.9101,0.6000
,,13,0.8890,0.8462
,,14,0.8946,0.5000
,,15,0.9111,0.6250
,2015,,,
,,1,1.0000,0.0000
,,2,1.0000,0.7143
,,3,1.0000,0.4000
,,4,0.9483,0.3333
,,5,0.9295,0.6000
,,6,0.9226,0.4444
,,7,0.9038,0.6000
,,8,0.9021,0.4000
,,9,0.9118,0.6000
,,10,0.9054,0.7500
,,11,0.9032,0.6667
,,12,0.9000,0.6154
,,13,0.8963,0.6000
,,14,0.8667,0.5714
,,15,0.9000,0.3750
,2016,,,
,,1,1.0000,0.0000
,,2,1.0000,0.1429
,,3,0.9449,0.1429
,,4,0.9333,0.3333
,,5,0.9333,0.4000
,,6,0.9250,0.5000
,,7,0.9045,0.4000
,,8,0.9027,0.7500
,,9,0.8999,0.4000
,,10,0.9050,0.8182
,,11,0.9084,0.6667
,,12,0.9122,0.5333
,,13,0.9117,0.7500
,2017,,,
,,1,1.0000,0.0000
,,2,1.0000,0.5000
,,3,0.9588,0.4000
,,4,0.9448,0.8333
,,5,0.9350,0.7500
,,6,0.9305,0.6364
,,7,0.9332,0.9091
,,8,0.9282,0.7143
,,9,0.9181,0.6000
,,10,0.9180,0.8333
,,11,0.9234,0.6000
,,12,0.9142,0.3750
,2018,,,
,,1,1.0000,0.0000
,,2,1.0000,0.2857
,,3,1.0000,0.2500
,,4,1.0000,0.6000
,,5,0.9192,0.4545
,,6,0.9223,0.7500
,,7,0.9338,0.8000
,,8,0.9360,0.5000
,,9,0.9276,0.5455
,,10,0.9318,0.7143
,,11,0.9046,0.2857
,,12,0.9104,0.4286
,,13,0.9000,0.6000
,,14,0.9000,1.0000
,,15,0.9000,0.7500
