Year, Anderson [k p r], Hillside [k p r], specR
1995,[2.0000 1.0000 0.9286],[14.0000 4.0000 0.8444],0.8571
1996,[2.0000 3.0000 0.9286],[6.0000 6.0000 0.9302],0.8571
1997,[8.0000 1.0000 0.7143],[48.0000 12.0000 0.5385],0.8149
1998,[4.0000 1.0000 0.8571],[28.0000 12.0000 0.7083],0.8169
1999,[4.0000 1.0000 0.8571],[28.0000 4.0000 0.7083],0.8571
2000,[2.0000 1.0000 0.9286],[10.0000 4.0000 0.8864],0.8571
2001,[2.0000 3.0000 0.9286],[6.0000 6.0000 0.9302],0.8571
2002,[2.0000 1.0000 0.9286],[10.0000 4.0000 0.8864],0.8571
2003,[4.0000 1.0000 0.8571],[22.0000 4.0000 0.7660],0.8571
2004,[6.0000 1.0000 0.7143],[40.0000 48.0000 0.4444],0.6615
2005,[4.0000 1.0000 0.8571],[24.0000 12.0000 0.7447],0.8375
2006,[8.0000 4.0000 0.7143],[36.0000 8.0000 0.6400],0.8049
2007,[12.0000 7.0000 0.5714],[72.0000 24.0000 0.3684],0.6841
2008,[6.0000 3.0000 0.7857],[32.0000 12.0000 0.6735],0.8049
2009,[4.0000 1.0000 0.8571],[28.0000 24.0000 0.7083],0.8571
2010,[8.0000 3.0000 0.7143],[60.0000 12.0000 0.4545],0.7082
2011,[8.0000 3.0000 0.7143],[52.0000 24.0000 0.5094],0.7143
2012,[8.0000 1.0000 0.7143],[52.0000 48.0000 0.5094],0.7143