,Massey,Colley,spec,\alpha,\beta
1995,0.89286,0.92593,0.143,0.006,0.408
1996,0.85714,0.96296,0.143,0.001,0.408
1997,0.67857,0.71429,0.185,0.153,0.565
1998,0.75,0.88889,0.183,0.093,0.53
1999,0.82143,0.88889,0.143,0.902,0.012
2000,0.92857,0.92857,0.143,0.013,0.008
2001,0.85714,1,0.143,0.003,0.006
2002,0.89286,0.96296,0.143,0.08,0.003
2003,0.78571,0.88462,0.143,0.09,0.408
2004,0.7619,0.77778,0.339,0.669,0.993
2005,0.82143,0.88462,0.162,0.095,0.065
2006,0.75,0.80769,0.195,0.68,0.543
2007,0.64286,0.65385,0.316,1,1
2008,0.71429,0.85185,0.195,0.68,0.531
2009,0.78571,0.85714,0.143,0.68,0.058
2010,0.75,0.74074,0.292,0.947,1
2011,0.64286,0.80769,0.286,0.68,1
2012,0.64286,0.76923,0.286,0.912,1
specB,0.82,,,,
Mb,0.61,,,,
Cb,0.60,,,,
Ca,0.50,,,,
specA,0.48,,,,
Ma,0.44,,,,
,,,,,
MC,0.69,,,,
Cs,0.62,,,,
Ms,0.52,,,,
AB,0.34,,,,