qid,metric_mean,metric_mean_random
18219,0.466666667,0.007555556
18230,-0.155555556,-0.006666667
18328,0.422222222,0.029333333
18342,0.155555556,0.027111111
18356,0.022222222,0.024888889
18371,-0.155555556,-0.014222222
18377,-0.2,0.010222222
18378,-0.022222222,-0.028
18386,-0.6,-0.019555556
18400,-0.6,-0.016888889
18401,0.066666667,0.020444444
18402,-0.244444444,0.013777778
18410,0.111111111,0.017333333
18411,0.155555556,-0.004
18429,0.333333333,0.037333333
18437,0.466666667,-0.023555556
18438,-0.511111111,0.033777778
18450,0.288888889,0.02
18457,0.066666667,-0.031555556
18458,-0.288888889,0.006666667
18464,0.155555556,-0.014222222
18468,-0.066666667,-0.014222222
18470,-0.244444444,-0.011555556
18479,0.111111111,-0.012
18488,0.155555556,-0.026222222
18489,-0.244444444,0.008
18490,-0.377777778,-0.029777778
18511,0.244444444,-0.011555556
18525,-0.244444444,-0.029333333
18526,-0.511111111,0.040444444
18531,-0.2,-0.016
18552,0.377777778,0.027111111
18571,-0.111111111,0.017777778
18574,0.377777778,0.012
18577,-0.155555556,0.006666667
18599,0.2,0.02
18603,0.244444444,-0.002222222
18626,0.333333333,0.008
18629,-0.688888889,0.011555556
18631,0.244444444,-0.020888889
18638,-0.777777778,-0.018666667
18648,-0.022222222,-0.020888889
18662,0.733333333,0.023555556
18686,-0.511111111,-0.009777778
18699,-0.288888889,0.013333333
18714,-0.022222222,-0.012444444
18731,-0.244444444,-0.034666667
18733,-0.022222222,0.000888889
18738,0.066666667,-0.029777778
18765,0.555555556,0.002666667
18767,0.2,-0.050666667
18774,0.155555556,0.027555556
18806,0.244444444,0.065333333
18822,0.422222222,0.017777778
18826,-0.422222222,0.011555556
18838,0.2,-0.017333333
18844,0.244444444,-0.022222222
18853,-0.022222222,0.025333333
18889,-0.377777778,0.011111111
18910,0.422222222,0.001777778
18919,0.288888889,-0.004888889
18930,-0.022222222,0.037777778
18960,-0.288888889,0.016
18963,-0.111111111,0.028444444
18979,-0.111111111,0.004
18985,0.288888889,-0.004
18995,0.2,0.022666667
18996,0.466666667,-0.011111111
19003,-0.022222222,-0.004444444
19034,-0.111111111,-0.046666667
19041,-0.688888889,0.010666667
19042,-0.2,0.014666667
19059,0.155555556,-0.039111111
19097,-0.244444444,0.006222222
19099,-0.466666667,0.017777778
19101,-0.022222222,-0.033333333
19108,-0.244444444,0.048444444
19116,0.066666667,0.018666667
19121,0.244444444,-0.013777778
19128,0.022222222,0.011555556
19140,0.555555556,-0.004
19153,-0.066666667,-0.026666667
19174,-0.377777778,-0.022222222
19182,0.022222222,-0.004888889
19186,-0.111111111,-0.047111111
19193,0.022222222,0.003111111
19216,0.066666667,-0.004
19236,0.466666667,0.023555556
19248,-0.422222222,0.046222222
19254,0.155555556,0.039555556
19276,0.288888889,-0.006222222
19349,-0.2,-0.003555556
19352,0.466666667,0.049333333
19353,-0.066666667,0.039555556
19356,0.377777778,0.059111111
19364,0.511111111,-0.010666667
19370,-0.022222222,-0.020888889
19371,-0.2,0.041333333
19372,-0.733333333,0.002666667
19383,0.511111111,-0.013777778
19390,-0.466666667,-0.028
19396,0.288888889,-0.011111111
19400,0.066666667,-0.007111111
19413,-0.155555556,0.002666667
19419,-0.2,0.004444444
19437,-0.466666667,0.007555556
19449,0.288888889,-0.013333333
19454,0.155555556,-0.004888889
19457,-0.288888889,0.033777778
19483,0.377777778,-0.000444444
19486,-0.511111111,-0.004888889
19487,0.511111111,0.001333333
19493,-0.6,0.018222222
19494,0.422222222,-0.012444444
19503,0.288888889,0.012444444
19511,-0.422222222,-0.005777778
19536,0.2,0.021777778
19548,0.155555556,0.029777778
19554,-0.555555556,0.011555556
19576,0.688888889,-0.042666667
19586,-0.511111111,-0.016888889
19595,0.288888889,-0.020444444
19602,-0.111111111,0.015555556
19603,0.333333333,-0.008444444
19633,-0.2,0.001333333
19681,-0.466666667,0.012
19682,-1,-0.021333333
19720,0.288888889,-0.039555556
19731,-0.866666667,-0.004
19736,-0.333333333,0.02
19737,0.422222222,0.037333333
19756,-0.066666667,0.004888889
19770,-0.333333333,-0.042222222
19771,-0.333333333,-0.021333333
19782,0.111111111,-0.015111111
19806,0.6,-0.006222222
19808,0.333333333,0.002222222
19812,-0.777777778,0.014666667
19836,-0.288888889,-0.011111111
19851,0.155555556,-0.008444444
19853,-0.022222222,0.028888889
19854,-0.555555556,-0.057777778
19864,0.066666667,-0.015555556
19875,-0.466666667,-0.031111111
19898,-0.688888889,0.013333333
19906,0.111111111,0.039555556
19913,0.2,0.015111111
19916,-0.022222222,-0.032444444
19921,-0.111111111,0.019111111
19938,0.022222222,0.003111111
19949,-0.155555556,0.014222222
19954,-0.022222222,-0.030666667
19960,-0.6,-0.050222222
19965,-0.244444444,0.027555556
19987,0.422222222,0.02
19997,0.466666667,-0.030666667